PLZ,Ort,Gemeinde,Kanton
1000,"Lausanne 25",Lausanne,VD
1000,"Lausanne 26",Lausanne,VD
1000,"Lausanne 27",Lausanne,VD
1008,"Jouxtens-Mézery","Jouxtens-Mézery",VD
1008,Prilly,Prilly,VD
1009,Pully,Pully,VD
1010,Lausanne,Lausanne,VD
1020,"Renens VD","Renens (VD)",VD
1022,"Chavannes-près-Renens","Chavannes-près-Renens",VD
1023,Crissier,Crissier,VD
1024,"Ecublens VD","Ecublens (VD)",VD
1025,"St-Sulpice VD","Saint-Sulpice (VD)",VD
1026,Denges,Denges,VD
1026,Echandens,Echandens,VD
1027,Lonay,Lonay,VD
1028,"Préverenges","Préverenges",VD
1029,Villars-Ste-Croix,Villars-Sainte-Croix,VD
1030,Bussigny,Bussigny,VD
1031,"Mex VD","Mex (VD)",VD
1032,Romanel-sur-Lausanne,Romanel-sur-Lausanne,VD
1033,Cheseaux-sur-Lausanne,Cheseaux-sur-Lausanne,VD
1034,Boussens,Boussens,VD
1035,Bournens,Bournens,VD
1036,Sullens,Sullens,VD
1037,"Etagnières","Etagnières",VD
1038,Bercher,Bercher,VD
1040,Echallens,Echallens,VD
1040,"St-Barthélemy VD","Saint-Barthélemy (VD)",VD
1040,Villars-le-Terroir,Villars-le-Terroir,VD
1041,Bottens,Bottens,VD
1041,Dommartin,Montilliez,VD
1041,Montaubion-Chardonney,Jorat-Menthue,VD
1041,Naz,Montilliez,VD
1041,Poliez-Pittet,Poliez-Pittet,VD
1041,Poliez-le-Grand,Montilliez,VD
1042,Assens,"",""
1042,Bettens,Bettens,VD
1042,Bioley-Orjulaz,"",""
1043,Sugnens,Montilliez,VD
1044,Fey,Fey,VD
1045,Ogens,Ogens,VD
1046,Rueyres,Rueyres,VD
1047,Oppens,Oppens,VD
1052,"Le Mont-sur-Lausanne","Le Mont-sur-Lausanne",VD
1053,Bretigny-sur-Morrens,Bretigny-sur-Morrens,VD
1053,"Cugy VD","Cugy (VD)",VD
1054,"Morrens VD","Morrens (VD)",VD
1055,Froideville,Froideville,VD
1058,Villars-Tiercelin,Jorat-Menthue,VD
1059,Peney-le-Jorat,Jorat-Menthue,VD
1061,Villars-Mendraz,Jorat-Menthue,VD
1062,Sottens,Jorat-Menthue,VD
1063,Boulens,Boulens,VD
1063,Chapelle-sur-Moudon,Montanaire,VD
1063,Martherenges,Montanaire,VD
1063,Peyres-Possens,Montanaire,VD
1066,Epalinges,Epalinges,VD
1068,"Les Monts-de-Pully",Pully,VD
1070,Puidoux,Puidoux,VD
1071,Chexbres,Chexbres,VD
1071,Rivaz,Rivaz,VD
1071,"St-Saphorin (Lavaux)","Saint-Saphorin (Lavaux)",VD
1072,"Forel (Lavaux)","Forel (Lavaux)",VD
1073,Mollie-Margot,Savigny,VD
1073,Savigny,Savigny,VD
1076,"Ferlens VD","Jorat-Mézières",VD
1077,Servion,Servion,VD
1078,Essertes,Essertes,VD
1080,"Les Cullayes",Servion,VD
1081,Montpreveyres,Montpreveyres,VD
1082,Corcelles-le-Jorat,Corcelles-le-Jorat,VD
1083,"Mézières VD","Jorat-Mézières",VD
1084,"Carrouge VD","Jorat-Mézières",VD
1085,Vulliens,Vulliens,VD
1088,Ropraz,Ropraz,VD
1090,"La Croix (Lutry)",Lutry,VD
1091,Aran,Bourg-en-Lavaux,VD
1091,Chenaux,Bourg-en-Lavaux,VD
1091,Grandvaux,Bourg-en-Lavaux,VD
1092,Belmont-sur-Lausanne,Belmont-sur-Lausanne,VD
1093,"La Conversion",Lutry,VD
1094,Paudex,Paudex,VD
1095,Lutry,Lutry,VD
1096,Cully,Bourg-en-Lavaux,VD
1096,"Villette (Lavaux)",Bourg-en-Lavaux,VD
1097,Riex,Bourg-en-Lavaux,VD
1098,Epesses,Bourg-en-Lavaux,VD
1110,Morges,Morges,VD
1112,Echichens,Echichens,VD
1113,St-Saphorin-sur-Morges,Echichens,VD
1114,"Colombier VD",Echichens,VD
1115,Vullierens,Vullierens,VD
1116,"Cottens VD","",""
1117,Grancy,Grancy,VD
1121,Bremblens,Bremblens,VD
1122,Romanel-sur-Morges,Romanel-sur-Morges,VD
1123,Aclens,Aclens,VD
1124,Gollion,Gollion,VD
1125,Monnaz,Echichens,VD
1126,Vaux-sur-Morges,Vaux-sur-Morges,VD
1127,Clarmont,Clarmont,VD
1128,Reverolle,"",""
1131,Tolochenaz,Tolochenaz,VD
1132,"Lully VD","Lully (VD)",VD
1134,Chigny,Chigny,VD
